nome_datacenter;operadora;endereco;cep;link_datacenter;ano_inicio_obra;ano_conclusao_obra;area_construida_m2;fonte;observacoes
Ascenty - Sao Paulo SP5;Ascenty Data Centers;Avenida Roberto Pinto Sobrinho, 350;06268-120;https://www.datacentermap.com/brazil/sao-paulo/ascenty-sao-paulo-sp5/;;;7000;datacentermap.com / ascenty.com (rede SP);"Em construção. datacentermap.com indica previsão de operação em 07/mai/2026, potência 8 MW; artigo da Ascenty indica conclusão planejada para 2025, 7.000 m², 6 MW, 1.500 racks planejados — datas e potência divergem entre fontes/momentos de divulgação. Parte do campus Ascenty São Paulo (Tier 3)."
Ascenty - Sao Paulo SP4;Ascenty Data Centers;Avenida Roberto Pinto Sobrinho, 350;06276-016;https://www.datacentermap.com/brazil/sao-paulo/ascenty-sp4/;;2023;7500;datacentermap.com / ascenty.com (rede SP);"Operacional desde 2023 (ascenty.com). datacentermap.com indica área total >7.200 m² e potência 9,2 MW; site oficial da Ascenty indica 7.500 m², 9 MW, 1.320 racks — valores próximos, pequena divergência entre fontes. Tier 3, DSS PCI, ISO27001."
Ascenty - Vinhedo VIN2;Ascenty Data Centers;Av. 2, 50, Quadra G1, Distrito Industrial Benedito Storani;13288-162;https://www.datacentermap.com/brazil/campinas/ascenty-vin02/;;;;datacentermap.com;Potência 34 MW. Tier 3. Parte do campus Vinhedo (Distrito Industrial Benedito Storani, Bldg 2).
Sonda Ativas;Sonda S.A.;Agenério de Araújo st. , 20 Camargos;30140090;https://www.datacentermap.com/brazil/belo-horizonte/ativas-datacenter-sa/;;;;datacentermap.com;Potência 2,5 MW. Tier 3 (Uptime Institute e TÜV Rheinland). Investimento US$ 50 milhões. Adquirido pela chilena Sonda S.A. em jan/2023.
Ascenty - Vinhedo VIN1;Ascenty Data Centers;Av. 2, 50, Quadra G1, Distrito Industrial Benedito Storani;13288-162;https://www.datacentermap.com/brazil/campinas/av-2-50-quadra-g1/;;;40000;datacentermap.com;430.500 sq ft de piso elevado (~40.000 m²). Potência 24-27 MW. Tier 3. Parte do campus Vinhedo.
Ascenty - Rio de Janeiro RJ1;Ascenty Data Centers;Avenida Coronel Phidias Tavora, 513;21535-510;https://www.datacentermap.com/brazil/rio-de-janeiro/av-cel-phidias-távora-513-1/;;2017;6000;datacentermap.com;"Primeiro DC da Ascenty no Rio; inaugurado 2017 com 64.500 sq ft de piso elevado (~5.992 m²) e 12 MW; após expansão em 2019, 6.000 m² totais e 15 MW."
Ascenty- Rio de Janeiro RJ2;Ascenty Data Centers;R. Mercúrio, 1736;21535-510;https://www.datacentermap.com/brazil/rio-de-janeiro/av-cel-phidias-távora-513-2/;;;5017;datacentermap.com;54.000 sq ft de piso elevado (~5.017 m²). Potência 12 MW.
Ascenty - Sao Paulo SP1;Ascenty Data Centers;Avenida Roberto Pinto Sobrinho, 350;06268-120;https://www.datacentermap.com/brazil/sao-paulo/av-roberto-pinto-sobrinho-350-1/;;2017;3500;ascenty.com (rede SP) / datacentermap.com;"Operacional desde 2017. Segundo o site oficial da Ascenty: 3.500 m², 6 MW, 480 racks. datacentermap.com (sublisting IPXON Sao Paulo no mesmo endereço) indica 88.000 sq ft de piso elevado (~8.175 m²) e 16 MW — números de área e potência divergem consideravelmente entre as duas fontes; possivelmente medem estágios/áreas diferentes do mesmo site."
Ascenty - Sao Paulo SP2;Ascenty Data Centers;Avenida Roberto Pinto Sobrinho, 350;06268-120;https://www.datacentermap.com/brazil/sao-paulo/av-roberto-pinto-sobrinho-350-2/;;2017;8000;ascenty.com (rede SP) / datacentermap.com;Operacional desde 2017. Segundo o site oficial da Ascenty: 8.000 m², 14 MW, 1.500 racks. datacentermap.com indica 36.000 sq ft de piso elevado (~3.345 m²) e 7 MW — números divergem entre as duas fontes.
Ascenty - Sao Paulo SP3;Ascenty Data Centers;Avenida Roberto Pinto Sobrinho, 350;06268-120;https://www.datacentermap.com/brazil/sao-paulo/av-roberto-pinto-sobrinho-350-3/;;2020;4000;ascenty.com (rede SP) / datacentermap.com;'Ascenty opens Sao Paulo 3 in 2020'. Segundo o site oficial da Ascenty: 4.000 m², 4 MW, 800 racks (datacentermap.com informa 3.000 m²).
Avato Joinville;Ávato;Av. Santos Dumont, 935 - Santo Antônio;89223-002;https://www.datacentermap.com/brazil/joinville/avato-joinville/;;2012;300;datacentermap.com;"Operacional desde 2012 como 'NeoGrid Datacenter'; até 130 racks. Ávato (Brasil TecPar) adquiriu a operação em fev/2021."
B3 Data Center;B3 S.A. – Brasil, Bolsa, Balcão;R. Ricardo Prudente de Aquino, 85 - Res. Tambore III;06543-004;https://www.datacentermap.com/brazil/sao-paulo/b3-data-center/;;;;;Não encontrado na página do datacentermap.com. Tier 3 (Uptime Institute), certificação LEED.
BRDrive Data Center;BRDrive;R. Frederico Bortolaz, 971 - Panazzolo;89566-060;https://www.datacentermap.com/brazil/videira/brdrive-data-center/;;;;;Não encontrado na página do datacentermap.com.
BRDrive - Santa Catarina - VDA;BRDrive;Rua Frederico Bortolaz;89566060;https://www.datacentermap.com/brazil/videira/brdrive-sc-vda/;;;;;Não encontrado na página do datacentermap.com. Tier 3.
CDZNet Data Center;cdznet data center;R. Independência, 2472;15025-095;https://www.datacentermap.com/brazil/sao-paulo/cdznet-data-center/;;;;;Não encontrado na página do datacentermap.com.
Century CEM-DC01;Century Telecom LTDA;José Permínio da Silva st., 80;32341590;https://www.datacentermap.com/brazil/belo-horizonte/century-cem-dc01/;;;1000;datacentermap.com;"1.000 m² dentro de condomínio empresarial; data hall de 350 m². 120 racks. Tier III."
Cirion CUR1;Cirion;R. do Semeador, 350;81270;https://www.datacentermap.com/brazil/curitiba/cirion-cur1/;;;;;"Não encontrado. Ex-Lumen Technologies; ativos LatAm adquiridos pela Stonepeak em 2022 (rebranding para Cirion)."
Cirion RIO2;Cirion;Av. Pedro II, 235;20941;https://www.datacentermap.com/brazil/rio-de-janeiro/cirion-rio2/;2025;2026;15000;datacentermap.com;Construção iniciada em agosto/2025, operação prevista para 2026 (em construção conforme atualização de ago/2025). Terreno de 15.000 m². Potência 60 MW.
Claro Data Center LAPA;Claro;R. Aldo de Azevedo, 200 - Vila Madalena;05453-030;https://www.datacentermap.com/brazil/sao-paulo/claro-lapa/;;2012;;datacentermap.com;Lançado pela Embratel em 26/09/2012. Tier III (Uptime Institute).
ClickIP Datacenters;ClickIP Datacenters;Rua Presidente João Batista Figueiredo, 15;69058695;https://www.datacentermap.com/brazil/manaus/clickip-datacenters/;;;685;datacentermap.com;685 m² construídos em terreno de 12.900 m². 380 kVA de capacidade IT, 34 racks iniciais.
Novvacore Data Center;Novvacore;Rua Professor Filadelfo de Azevedo 712;04508011;https://www.datacentermap.com/brazil/sao-paulo/cma/;;;;;Não encontrado (listado como 'CMA Data Center' no datacentermap.com).
Connect Web Data Center;Connect Web;Av. das Nações Unidas, 12995;04578-000;https://www.datacentermap.com/brazil/sao-paulo/connect-web/;;;;datacentermap.com;Empresa opera com hospedagem web desde 2000 (não é necessariamente o ano do prédio/data center atual).
Constel Cascavel Centro;Constel Tecnologia;Rua Minas Gerais, 1932 - Centro;85812-030;https://www.datacentermap.com/brazil/cascavel/constel-tecnologia-minas/;;;;;Não encontrado na página do datacentermap.com.
Constel Cascavel Country;Constel Tecnologia;Rua Pará, 812 - Country;85813-060;https://www.datacentermap.com/brazil/cascavel/constel-tecnologia-para/;;;;;Não encontrado na página do datacentermap.com.
Contato Data Center;Contato Data Center;Rua Doutor Américo Cavalcante Rabello, 241;88901052;https://www.datacentermap.com/brazil/ararangu/contato-cloud/;;;;;Não encontrado na página do datacentermap.com.
Convex IDC Ribeirão Preto;Convex Internet Solutions;R. Bernardino de Campos, 1001;14015-130;https://www.datacentermap.com/brazil/ribeirao-preto/convex-idc-rpo/;;;;;Não encontrado na página do datacentermap.com.
COPE-P Brasilia;Telebras;St. de Habitações Individuais Sul;70200-001;https://www.datacentermap.com/brazil/brasilia/cope-p/;;;22500;datacentermap.com;"22.500 m². Tier IV (Uptime Institute). 17.500 kVA de capacidade; 7 geradores (13.000 kW) e 7 UPS (3.330 kW); usina fotovoltaica de 352,04 kWp. Operado pela Telebras."
COPE-S Rio de Janeiro;Telebras;Rua Américo Goulart - Cacuia;21930-700;https://www.datacentermap.com/brazil/rio-de-janeiro/cope-s/;;;;;Não encontrado. Centro secundário de operações do Sistema de Controle do Satélite Geoestacionário (SGDC) da Telebras.
CWB-HN 01;Hosting Now;Rua Brasílio Itiberê 2217;80230050;https://www.datacentermap.com/brazil/curitiba/cwbhn-01/;;;;;Não encontrado. Padrão Tier 3.
Locaweb Data Center Itapaiuna;Locaweb S/A;Rua Itapaiuna, 2434;05707-001;https://www.datacentermap.com/brazil/sao-paulo/datacenter-locaweb-itapaiuna/;;;;datacentermap.com;Potência 2,5 MW. Área e ano não informados.
Locaweb Data Center JK;Locaweb S/A;Av. Presidente Juscelino Kubitscheck, 1830 1º Andar;04543-900;https://www.datacentermap.com/brazil/sao-paulo/datacenter-locaweb-jk/;;;;;Não encontrado na página do datacentermap.com.
Avato Santa Maria;Ávato;Av. Fernando Ferrari, 1280 - Nossa Sra. de Lourdes;97050-800;https://www.datacentermap.com/brazil/santa-maria/dc-coracao-do-rio-grande/;;;;;Não encontrado. Tier III, com piso elevado (raised floor).
Ultranet Telecom DC Fortaleza;Ultranet Telecom;Av. Santos Dumont, 2122;60150-161;https://www.datacentermap.com/brazil/fortaleza/dc-ultranet-telecom/;;;;;Não encontrado na página do datacentermap.com.
Ultranet Telecom DC Centro;Ultranet Telecom;Av. Pres. Vargas, 3131;20210-030;https://www.datacentermap.com/brazil/rio-de-janeiro/dc-ultranet-telecom1/;;;;;Não encontrado na página do datacentermap.com.
DSI - PAE-A01;DSI Internet;R. Mostardeiro, 265 - Rio Branco;90430001;https://www.datacentermap.com/brazil/porto-alegre/dsi-pae-a01/;;;;;Página do datacentermap.com retornou erro 429 em 3 tentativas — não foi possível extrair dados dela.
Edge Connection - CPS01;Edge Connection;Rua Angelo Sellin, 401;13098422;https://www.datacentermap.com/brazil/campinas/edge-connection--cps01/;;;;;Não encontrado na página do datacentermap.com.
Elea BSB1;Elea Data Centers;Scn Q 3;70297;https://www.datacentermap.com/brazil/brasilia/elea-digital-bsb1/;;;;datacentermap.com;"Potência 4 MW. Tier III. Adquirido pela Elea em mar/2021 junto com outros 4 DCs da Oi S.A (via Piemonte Holding); ano de construção original não informado."
Elea BSB2;Elea Data Centers;Sig Q 2;70610;https://www.datacentermap.com/brazil/brasilia/elea-digital-bsb2/;;;;datacentermap.com;"Potência 4,5 MW. Tier 3. Adquirido da Oi S.A em mar/2021; ano de construção original não informado."
Elea CTA1;Elea Data Centers;Tv. Teixeira de Freitas 73;80410;https://www.datacentermap.com/brazil/curitiba/elea-digital-cta1/;;;;datacentermap.com;"Potência 1,7 MW. Adquirido da Oi (Curitiba) em 2021; ano de construção original não informado."
Elea POA1;Elea Data Centers;Rua Engenheiro Afonso Cavalcanti 100;90440;https://www.datacentermap.com/brazil/porto-alegre/elea-digital-poa1/;;;;datacentermap.com;"Potência 1,5 MW. Adquirido da Oi em mar/2021; ano de construção original não informado."
Elea POA2;Elea Data Centers;R. Voluntários da Pátria 1555;90030;https://www.datacentermap.com/brazil/porto-alegre/elea-digital-poa2/;;;;datacentermap.com;"Potência 7 MW. Tier 3. Adquirido da TIM Brasil em set/2022; ano de construção original não informado."
Elea RJO1;Elea Data Centers;R. Vargem Grande 100;22775;https://www.datacentermap.com/brazil/rio-de-janeiro/elea-digital-rjo1/;;2016;500;datacentermap.com;Inaugurado em 2016 como data center do Grupo Globo. Expansão em 2023 (+500 m², +2,5 MW, totalizando 5 MW). Área de 500 m² refere-se só à expansão de 2023.
Elea SPO1;Elea Data Centers;Av. Guido Caloi 1000;05802;https://www.datacentermap.com/brazil/sao-paulo/elea-digital-spo1/;;;;;Não encontrado. Adquirido da Oi em mar/2021. Tier 3.
Elea SPO2;Elea Data Centers;Av. Marginal Direita Anchieta, 1241;09891;https://www.datacentermap.com/brazil/sao-paulo/elea-digital-spo2/;;;;datacentermap.com;Potência atual 5 MW, com planos de expansão até 100 MW. Instalação adquirida da DXC em jul/2024 (Barueri e São Bernardo do Campo).
Elea SPO3;Elea Data Centers;Al. Rio Negro, 530;06454;https://www.datacentermap.com/brazil/sao-paulo/elea-digital-spo3/;;;;datacentermap.com;"Capacidade atual >10 MW; rede Elea planeja 120 MW totais com investimento de US$1 bilhão. Instalações adquiridas da DXC Technology em jul/2024 (Barueri e São Bernardo do Campo). 100% energia renovável."
Engetronics Brasilia;ENGETRONICS INTERNET DATACENTER;Setor Hoteleiro Norte, Qd 2 Bl H;70702905;https://www.datacentermap.com/brazil/brasilia/engetronics-brasilia/;;;;;Não encontrado na página do datacentermap.com.
Equinix RJ1;Equinix;Rua Voluntarios da Patria, 360, Botafogo;22270-010;https://www.datacentermap.com/brazil/rio-de-janeiro/equinix-rj1/;;;5200;datacentermap.com;~5.200 m² (56.000 sq ft) de espaço de colocation — valor combinado dos prédios RJ1+RJ2 na região metropolitana, não exclusivo do RJ1. Equinix adquiriu a ALOG Data Centers em jul/2024.
Equinix RJ2;Equinix;Estrada Adhemar Bebiano, 1380, Del Castilho;21051-070;https://www.datacentermap.com/brazil/rio-de-janeiro/equinix-rj2/;;2013;15000;tiinside.com.br / datacentermap.com;Instalação original da Alog (Del Castilho, RJ), inaugurada em 26/set/2013 como 'o maior data center do estado' à época — descrita como o segundo DC da Alog no Rio. 15.000 m², 1.200 racks planejados (320 entregues na inauguração). Investimento de R$40 milhões (fase inicial) + R$85 milhões (expansão). Equinix adquiriu a ALOG Data Centers em jul/2024. Tier 3, ISO27001.
Equinix RJ3;Equinix;Rua Maria Soares Sendas, 6-B/2;25575-825;https://www.datacentermap.com/brazil/rio-de-janeiro/equinix-rj3/;;2025;;datacentermap.com;Lançado em início de abril/2025 ('terceiro data center da Equinix no Rio de Janeiro').
Equinix SP1;Equinix;Rua Doutor Miguel Couto, 58, Centro;01008-010;https://www.datacentermap.com/brazil/sao-paulo/equinix-sp1/;;;;;Não encontrado. Equinix adquiriu a ALOG Data Centers do Brasil em jul/2024, o que pode ter expandido esta unidade.
Equinix SP2;Equinix;Alameda Araguaia, 3641 Tamboré;06455-000;https://www.datacentermap.com/brazil/sao-paulo/equinix-sp2/;;;22700;datacentermap.com;~22.700 m² (244.500 sq ft) — valor combinado de 4 prédios do IBX São Paulo (SP2/SP3/SP4 e outro), não exclusivo do SP2. Tier 3, ISO27001. 1.170+ empresas, 305+ provedores de rede.
Equinix SP3;Equinix;Av. Marcos Penteado de Ulhôa Rodrigues, 249;06543-001;https://www.datacentermap.com/brazil/sao-paulo/equinix-sp3/;;2017;20000;tiinside.com.br / datacentermap.com;Inaugurado em 09/mar/2017 — maior IBX da América Latina à época. Terreno de 20.000 m², mais de 8.000 m² de piso elevado. Potência 13,3 MW. Investimento de US$69 milhões (fase 1), mais de 2.775 racks na capacidade total.
Equinix SP4;Equinix;Av. Ceci, 1900 - Res. Tambore, Tamboré;06460-120;https://www.datacentermap.com/brazil/sao-paulo/equinix-sp4/;;;22700;datacentermap.com;~22.700 m² combinado (4 prédios). ISO27001. Em 2017, Equinix adquiriu 29 data centers da Verizon (parte do histórico do site).
Equinix SP5x;Equinix;Av. Marcos Penteado de Ulhôa Rodrigues, 888;06543-001;https://www.datacentermap.com/brazil/sao-paulo/equinix-sp5x/;;;;datacentermap.com;Potência 14,4 MW. Data center 'xScale' dedicado a hyperscale (nuvem, mídias sociais, serviços financeiros). ISO27001.
Equinix SP6;Equinix;Av. Marcos Penteado de Ulhoa Rodrigues, 1413;06544;https://www.datacentermap.com/brazil/sao-paulo/equinix-sp6/;;2026;;datacentermap.com;"Em construção; início de operações previsto para 17/abr/2026 (Q1 2026). Investimento de US$110 milhões na primeira fase; 1.125 racks esperados."
Everest Digital Data Center;Everest Digital;Av. Fued José Sebba, 700 - Térreo 2 - Jardim Goiás;74805-100;https://www.datacentermap.com/brazil/goiania/everest-digital-data-center/;;;;;Não encontrado. Tier III. Operado em parceria com a Elea Digital, 8 unidades no Brasil.
EVO-CTA-01;Grupo EVO;105 R. Álvaro Maravalhas;81270750;https://www.datacentermap.com/brazil/curitiba/evo-cta-01/;;;;;Não encontrado na página do datacentermap.com.
FERENZ NETWORKS SERVIÇOS DE INTERNET LTDA;Ferenz Networks;Rua Governador Irineu Bornhausen, 473, Bairro Germânico;89825000;https://www.datacentermap.com/brazil/xaxim/ferenz-networks/;;2013;;datacentermap.com;Inaugurado em 2013. Tier 1.
Cirion RIO1;Cirion;Av. Pedro II, 329;20910;https://www.datacentermap.com/brazil/rio-de-janeiro/gblx-rio/;;;1445;datacentermap.com;1.445 m² de piso de colocation. Potência 20 MW. Tier 3. Formado em 2022 quando Stonepeak comprou as operações latino-americanas da Lumen (antes GBLX/Lumen).
GetTI Data Center;GetCard Provedora de Transações Eletrônicas;Av. Advogado Horacio Racanello Filho, 5570;87020-035;https://www.datacentermap.com/brazil/maringa/getcard-data-center/;;;;;Não encontrado na página do datacentermap.com.
GOX DATA CENTER LTDA;GOX DATA CENTER LTDA;Rua Zezé Lima, 212;35680045;https://www.datacentermap.com/brazil/itauna/gox-dc/;;;;;Não encontrado na página do datacentermap.com.
Vivo Curitiba Data Center;Vivo;Rua Francisco Nunes, 1395;80215-000;https://www.datacentermap.com/brazil/curitiba/gvt-curitiba/;;2011;800;baguete.com.br;GVT entrou no mercado de data centers em maio/2011, com unidades em São Paulo (1.000 m²), Rio de Janeiro (600 m²) e Curitiba (800 m²) — 2.400 m² e 300 racks no total das 3 unidades no lançamento. Adquirida pela Telefônica/Vivo em mar/2015.
Vivo Rio de Janeiro Data Center;Vivo;Rua Sara, 36;20220-090;https://www.datacentermap.com/brazil/rio-de-janeiro/gvt-rio-de-janeiro/;;2011;600;baguete.com.br;Parte do lançamento dos 3 primeiros data centers da GVT em maio/2011 (600 m² no Rio de Janeiro). Adquirida pela Telefônica/Vivo em mar/2015.
Vivo São Paulo - Guarulhos Data Center;Vivo;Rua Doutor Timóteo Penteado, 976;07094-000;https://www.datacentermap.com/brazil/sao-paulo/gvt-sao-paulo/;;2011;1000;baguete.com.br;Provável unidade de São Paulo (1.000 m²) do lançamento dos 3 primeiros data centers da GVT em maio/2011 (não confirma explicitamente 'Guarulhos', mas é a única unidade GVT/Vivo em São Paulo na lista). Adquirida pela Telefônica/Vivo em mar/2015.
Hasest SIA;Hasest;SIA Trecho 05, Lotes 05/35;71205-050;https://www.datacentermap.com/brazil/brasilia/hasest-sia/;;;;;Não encontrado na página do datacentermap.com.
HEXAM2;HEXAM2;Rua Ceara, 356;20270-160;https://www.datacentermap.com/brazil/rio-de-janeiro/hexam2/;;;;;Não encontrado. Listado como parte do TELEPORTO RJ.
HostDime Brazil (João Pessoa);HostDime Global Corp;Av São Paulo, 1223;58020500;https://www.datacentermap.com/brazil/joao-pessoa/hostdime-brazil/;;;1858;datacentermap.com;20.000 sq ft (~1.858 m²), edge data center, até 250 racks. Piso elevado de 1 metro. Potência 1.500 kVA / >2.000 kW (N+1). Tier III (Uptime Institute).
HostDime Brazil (São Paulo);HostDime Global Corp;Av. Eid Mansur, 666 - Parque Sao George;06708-070;https://www.datacentermap.com/brazil/sao-paulo/hostdime-so-paulo/;;;2787;datacentermap.com;30.000 sq ft (~2.787 m²) total, piso elevado em 25.000 sq ft (~2.323 m²). Potência 5,9 MW. Sublisting do mesmo endereço da Cirion SAO1.
Hostweb Fortaleza;Hostweb;R. Vitóriano Borges, 455;60741-370;https://www.datacentermap.com/brazil/fortaleza/hostweb-fortaleza/;;;;;Não encontrado. Tier 3, ISO27001.
Hostzone CGE1;Hostzone;R. Paulo de Frontin, 75 - Centro;58400-310;https://www.datacentermap.com/brazil/campina-grande/hostzone-cge1/;;;;;Não encontrado na página do datacentermap.com.
HOTlink Internet Data Center;hotlink internet ltda;Rua Manoel Bezerra, 165;50610250;https://www.datacentermap.com/brazil/recife/hotlink-internet/;;;;;Não encontrado na página do datacentermap.com.
Hunti CTA1;Hunti Data;Av. Republica Argentina, 1505;80620010;https://www.datacentermap.com/brazil/curitiba/hunti-cta1/;;2023;;datacentermap.com;Inaugurado em 2023.
IDC Centro;Reitec Fibra;SRTVS 701 Bloco O 2 andar;70340000;https://www.datacentermap.com/brazil/brasilia/idc-centro/;;;;;Não encontrado. Tier 2 (Reitec Fibra).
IDX Data Centers & IT Services;IDX Data Centers & IT Services;Q. 103 Sul Rua SO 5, 274 - Plano Diretor Sul; 77015;https://www.datacentermap.com/brazil/palmas/idx-data-centers-it-services/;;;;datacentermap.com;Potência 1,2 MW. Tier 3, ISO27001.
IPXON Fortaleza;IPXON Networks;R. Quatorze, 1161 - Fortaleza;61919-120;https://www.datacentermap.com/brazil/fortaleza/ipxon-fortaleza/;;;;;Não encontrado. Tier III design.
IPXON Rio de Janeiro;IPXON Networks;Av. Cel. Phidias Távora, 513 - Pavuna;21535-510;https://www.datacentermap.com/brazil/rio-de-janeiro/ipxon-rio-de-janeiro/;;;;datacentermap.com;Potência 10 MW. Tier 3. Sublisting da instalação Ascenty - Rio de Janeiro RJ1 (mesmo endereço).
IPXON Sao Paulo;IPXON Networks;Avenida Roberto Pinto Sobrinho, 350;06276-125;https://www.datacentermap.com/brazil/sao-paulo/ipxon-sao-paulo/;;;;datacentermap.com;Potência 12 MW. Tier 3. Sublisting da instalação Ascenty - São Paulo SP1 (mesmo endereço).
KingHost Data Center;KingHost;Av. Cristóvão Colombo, 2360;90560-002;https://www.datacentermap.com/brazil/porto-alegre/kinghost/;;;;;Não encontrado na página do datacentermap.com.
Kyndryl Hortolandia;Kyndryl;Rodovia Jornalista Francisco Aguirre Proença, Km 09 - S/N;13186-900;https://www.datacentermap.com/brazil/sao-paulo/kyndryl-dc-hortolandia/;;;;;Não encontrado. Kyndryl assumiu os serviços de data center da IBM após spin-off em 2021.
Local DC Campinas;Local DC;TBA - To Be Announced;13098-396;https://www.datacentermap.com/brazil/campinas/local-dc-campinas/;;2026;10000;datacentermap.com;"Lançamento anunciado em jan/2026 (data de conclusão real ainda incerta). Prédio de 10.000 m² (retrofit de antigo prédio do Banco Itaú). Capacidade inicial 6 MW, planejada 12 MW; 1.200 racks iniciais. Investimento ~US$20 milhões / R$200-300 milhões (incl. retrofit)."
Lumen Fortaleza;Lumen;Av. Dioguinho, 2950;60182-001;https://www.datacentermap.com/brazil/fortaleza/lumen-fortaleza/;;;;;Não encontrado (perfil sem texto no datacentermap.com).
Cirion SAO1;Cirion;Av. Eid Mansur, 666;06708-070;https://www.datacentermap.com/brazil/sao-paulo/lumen-parque-sao-georgia/;;;;;Não encontrado. Tier 3. Formado em 2022 quando Stonepeak comprou os DCs latino-americanos da Lumen.
